"RelativePath","Extension","SizeMB","LastWrite","FullName"
"preTrained_models\ppo\bandoxethuc\ppo_policy_11_.pth",".pth","1.768","7/28/2026 1:51:25 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_11_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_10.pickle",".pickle","0","7/28/2026 12:34:14 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_10.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_10_.pth",".pth","1.768","7/28/2026 12:34:14 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_10_.pth"
"preTrained_models\ppo\bandoxethuc\ppo_policy_9_.pth",".pth","1.768","7/27/2026 5:39:55 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_9_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_9.pickle",".pickle","0","7/27/2026 5:39:55 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_9.pickle"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_8.pickle",".pickle","0","7/27/2026 5:22:16 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_8.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_8_.pth",".pth","1.768","7/27/2026 5:22:16 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_8_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_7.pickle",".pickle","0","7/27/2026 5:05:30 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_7.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_7_.pth",".pth","1.768","7/27/2026 5:05:30 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_7_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_6.pickle",".pickle","0","7/27/2026 3:34:33 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_6.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_6_.pth",".pth","1.768","7/27/2026 3:34:33 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_6_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_5.pickle",".pickle","0","7/27/2026 3:17:43 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_5.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_5_.pth",".pth","1.768","7/27/2026 3:17:43 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_5_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_4.pickle",".pickle","0","7/26/2026 9:58:39 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_4.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_4_.pth",".pth","1.768","7/26/2026 9:58:39 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_4_.pth"
"preTrained_models\ppo\bandoxethuc\ppo_policy_3_.pth",".pth","1.768","7/26/2026 9:48:52 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_3_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_3.pickle",".pickle","0","7/26/2026 9:48:52 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_3.pickle"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_2.pickle",".pickle","0","7/26/2026 9:40:34 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_2.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_2_.pth",".pth","1.768","7/26/2026 9:40:34 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_2_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_1.pickle",".pickle","0","7/26/2026 9:22:31 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_1.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_1_.pth",".pth","1.768","7/26/2026 9:22:31 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_1_.pth"
"checkpoints\PPO\bandoxethuc\checkpoint_ppo_0.pickle",".pickle","0","7/26/2026 9:14:21 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\bandoxethuc\checkpoint_ppo_0.pickle"
"preTrained_models\ppo\bandoxethuc\ppo_policy_0_.pth",".pth","1.768","7/26/2026 9:14:21 PM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\bandoxethuc\ppo_policy_0_.pth"
"preTrained_models\ppo\Town07\ppo_policy_9_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_9_.pth"
"preTrained_models\ppo\Town07\ppo_policy_8_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_8_.pth"
"preTrained_models\ppo\Town07\ppo_policy_7_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_7_.pth"
"preTrained_models\ppo\Town07\ppo_policy_6_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_6_.pth"
"preTrained_models\ppo\Town07\ppo_policy_5_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_5_.pth"
"preTrained_models\ppo\Town07\ppo_policy_4_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_4_.pth"
"preTrained_models\ppo\Town07\ppo_policy_3_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_3_.pth"
"preTrained_models\ppo\Town07\ppo_policy_2_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_2_.pth"
"preTrained_models\ppo\Town07\ppo_policy_1_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_1_.pth"
"preTrained_models\ppo\Town07\ppo_policy_10_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_10_.pth"
"preTrained_models\ppo\Town07\ppo_policy_0_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town07\ppo_policy_0_.pth"
"preTrained_models\ppo\Town02\ppo_policy_9_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_9_.pth"
"preTrained_models\ppo\Town02\ppo_policy_8_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_8_.pth"
"preTrained_models\ppo\Town02\ppo_policy_7_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_7_.pth"
"preTrained_models\ppo\Town02\ppo_policy_6_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_6_.pth"
"preTrained_models\ppo\Town02\ppo_policy_5_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_5_.pth"
"preTrained_models\ppo\Town02\ppo_policy_4_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_4_.pth"
"preTrained_models\ppo\Town02\ppo_policy_3_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_3_.pth"
"preTrained_models\ppo\Town02\ppo_policy_2_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_2_.pth"
"preTrained_models\ppo\Town02\ppo_policy_1_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_1_.pth"
"preTrained_models\ppo\Town02\ppo_policy_12_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_12_.pth"
"preTrained_models\ppo\Town02\ppo_policy_11_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_11_.pth"
"preTrained_models\ppo\Town02\ppo_policy_10_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_10_.pth"
"preTrained_models\ppo\Town02\ppo_policy_0_.pth",".pth","1.767","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ppo\Town02\ppo_policy_0_.pth"
"preTrained_models\ddqn\Town07\carla_dueling_dqn_target.pth",".pth","0.26","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ddqn\Town07\carla_dueling_dqn_target.pth"
"preTrained_models\ddqn\Town07\carla_dueling_dqn_online.pth",".pth","0.26","7/24/2026 11:40:45 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\preTrained_models\ddqn\Town07\carla_dueling_dqn_online.pth"
"checkpoints\PPO\Town07\checkpoint_ppo_8.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_8.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_9.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_9.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_7.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_7.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_5.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_5.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_6.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_6.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_3.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_3.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_4.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_4.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_2.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_2.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_0.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_0.pickle"
"checkpoints\PPO\Town07\checkpoint_ppo_1.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town07\checkpoint_ppo_1.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_9.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_9.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_7.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_7.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_8.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_8.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_6.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_6.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_4.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_4.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_5.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_5.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_3.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_3.pickle"
"checkpoints\PPO\Town02\checkpoint_ppo_12.pickle",".pickle","0","7/24/2026 11:40:44 AM","C:\Autonomous-Driving-in-Carla-using-Deep-Reinforcement-Learning - Copy\checkpoints\PPO\Town02\checkpoint_ppo_12.pickle"
